term,review_count,evidence_tier,w3_use
reminder,21,better_attested,literal customer-language input; contextual utility only
progress,19,better_attested,primary entry/value language
my trees,18,better_attested,literal ownership/collection phrasing; not provenance
collection,17,better_attested,expanding-hobbyist/collection context
photo,17,better_attested,progress/evidence context
keep track,15,better_attested,functional entry job
record,6,marginal,hypothesis language; do not overstate
notes,5,marginal,hypothesis language; do not overstate
organize,5,marginal,job signal; not master territory
one place,1,single_instance,do not treat as strong customer language
memory,,strategic_synthesis,"Brand interpretation, not recurring literal language"
continuity,,strategic_synthesis,"Brand interpretation, not recurring literal language"
journey,,strategic_synthesis,"Brand interpretation, not recurring literal language"
stewardship,,strategic_synthesis,H5-gated Brand interpretation
