stable_id,product_name,aliases,platform,developer,platform_identity,lifecycle_status,verification_status,registry_action,notes,surface_type,included_in_standalone_distribution_measurement,last_verified,verification_method,source_url,verification_note
W1-001,BonsaiDo,,Apple,Marco Rinaldi,,known,VERIFIED_PRIOR_CANON,include,Existing canonical competitor,standalone_app,true,,,,
W1-002,Bonsai Care App,Bonsai Empire,Apple + Google Play,Bonsai Empire,app.bonsaicare,current,FIRST_PARTY_VERIFIED,include,Google Play 10K+ bracket,standalone_app,true,,,,
W1-003,BonsAI Identifier: Tree Care,,Apple,,,known,VERIFIED_PRIOR_CANON,include,Existing canonical competitor,standalone_app,true,,,,
W1-004,Jooni – Bonsai Tracking,,Apple + Google Play,EDUARDO FERREIRA,,current,FIRST_PARTY_VERIFIED,include,Google Play 10K+ bracket,standalone_app,true,,,,
W1-005,Bonsai Care - Journaling,,Apple,Abdelkarime Achtaou,Apple:6739073820,current,FIRST_PARTY_VERIFIED,include,,standalone_app,true,,,,
W1-006,Appy Bonsai - Bonsai Care,Appy Bonsai,Apple + Google Play,Appy Bonsai,com.appybonsai.AppyBonsai,current,FIRST_PARTY_VERIFIED,include,Google Play 10K+ bracket,standalone_app,true,,,,
W1-007,Bonsaiku: Bonsai Care & Log,Bonsaiku,Apple,PRIOMAT LLC,,current,FIRST_PARTY_VERIFIED,include,,standalone_app,true,,,,
W1-008,Bonsai - Tree Care,,Apple,Mitaanshu Agarwal,,current,FIRST_PARTY_VERIFIED,include,,standalone_app,true,,,,
W1-009,Tiny Tree Club,,Apple,Jonathan Baran,,current,FIRST_PARTY_VERIFIED,include,,standalone_app,true,,,,
W1-010,Bonsai Care: Plant Tracker,,Apple + Google Play,,,current,VERIFIED_PRIOR_CANON,include,,standalone_app,true,,,,
W1-011,Bonsai Tracker,,Web,,bonsaitracker.com,current,FIRST_PARTY_VERIFIED,include,Web-first,web_or_other,true,,,,
W1-012,Yoi Bonsai,,Web + Google Play,,,current,FIRST_PARTY_VERIFIED,include,Transferable lineage; low observable Play distribution does not imply failure,standalone_app,true,,,,
W1-013,Wabi Sabi Bonsai,,Google Play,,,current,FIRST_PARTY_VERIFIED,include,,standalone_app,true,,,,
W1-014,Diario Bonsai - Nebari,Bonsai Care Journal - Nebari,Apple,Karol Jaworski,Apple:6760012296,current,FIRST_PARTY_VERIFIED,include,Localized titles are same product,standalone_app,true,,,,
W1-015,Bonsai App,br.com.bonsaiapp,Google Play,,br.com.bonsaiapp,known,VERIFIED_PRIOR_CANON,include,Brazilian,standalone_app,true,,,,
W1-016,ScandinavianBonsai,Bonsai Care & RFID Tree Log,Google Play,,se.vilhelmineberg.planttracker,known,VERIFIED_PRIOR_CANON,include,Same product/alias,standalone_app,true,,,,
W1-017,MyBonsaiTag,,Web / other,,,known,VERIFIED_PRIOR_CANON,include,NFT identity/transfer,web_or_other,true,,,,
W1-018,Bonsme,,Historical,,,defunct,HISTORICAL_VERIFIED,include,Defunct; retained because registry covers products that shipped,web_or_other,true,,,,
W1-019,Kodama - Bonsai Tree Care,,Apple,BigBalli Consulting LLC,Apple:6761913585,current,FIRST_PARTY_VERIFIED,include,,standalone_app,true,,,,
W1-020,Mori Bonsai,,Apple,Sima Technologies LLC,Apple:6763155691,current,FIRST_PARTY_VERIFIED,include,Verified during W1 closure,standalone_app,true,2026-09-03,Public Apple App Store web listing,https://apps.apple.com/us/app/mori-bonsai/id6763155691,"Current public listing reproduced externally. Internal iTunes/API verification in the received handoff did not reproduce the identity; method disagreement retained for audit, not treated as refutation."
W1-021,Komorebi: Bonsai Tree Care,,Apple,Emanuele Pina,Apple:6761901054,current,FIRST_PARTY_VERIFIED,include,,standalone_app,true,,,,
W1-022,BonsaiTrack: Care Journal,,Apple,Filip Rusin,Apple:6774980293,current,FIRST_PARTY_VERIFIED,include,,standalone_app,true,,,,
W1-023,Bonsai: Care & Growth Journal,,Apple,ElevenApril / 帅 陈,Apple:6772092929,current,FIRST_PARTY_VERIFIED,include,Product verified; six US reviews quarantined for authenticity risk,standalone_app,true,,,,
W1-024,BonsaiLog: Bonsai Care Log,,Apple,TOBY M BERGER,Apple:6789196023,current,FIRST_PARTY_VERIFIED,include,Distinct from W1-027,standalone_app,true,,,,
W1-025,BonsaiNikki – Bonsai Journal,,Apple,David Assany,Apple:6761331285,current,FIRST_PARTY_VERIFIED,include,,standalone_app,true,,,,
W1-026,kinoki - bonsai journal & care,,Google Play,ODA TECNOLOGIA LTDA,,current,FIRST_PARTY_VERIFIED,include,Brazilian,standalone_app,true,,,,
W1-027,BonsaiLog,,Apple,MAKOTO NAKAGAWA,Apple:6763495229,current,FIRST_PARTY_VERIFIED,include,Distinct from W1-024,standalone_app,true,,,,
W1-028,Bonsai Album,Bonsai Album Lite,Apple / desktop family,Andrew Nicolle,Apple:465021382,current,FIRST_PARTY_VERIFIED,include,Lite/full treated as one product family for competitor count; US ratings leader in W1 snapshot,standalone_app,true,,,,
W1-029,Bonsai Care App: Bonsai Buddy,Bonsai Buddy,Apple,Carlos Domingues,Apple:6751142898,current_regional,FIRST_PARTY_VERIFIED,include,Regional storefront availability; US availability not required for identity,standalone_app,true,2026-09-03,Public regional Apple App Store web listings,https://apps.apple.com/fr/app/bonsai-care-app-bonsai-buddy/id6751142898,Regional listing reproduced externally. US 404/internal lookup non-reproduction is compatible with regional availability and does not defeat product identity.
W1-030,BonsaiPilot,,Web,,bonsaipilot.app,current,FIRST_PARTY_VERIFIED,include,Distinct from unrelated robotics app of similar name,web_or_other,true,,,,
W1-031,my-bonsai,,Web,,my-bonsai.app,current,FIRST_PARTY_VERIFIED,include,German web subscription tracker,web_or_other,true,,,,
W1-032,Bonsai Droid,,Google Play / historical,,,historical,THIRD_PARTY_ARCHIVE,include,Last known updates around 2020,standalone_app,true,,,,
W1-033,MyBonsai,,Google Play / historical,CRESPI BONSAI,,historical,THIRD_PARTY_ARCHIVE,include,Removed from Google Play in 2024,standalone_app,true,,,,
W1-034,My Bonsai Book,,Google Play,ZanyGoose,com.mybonsaibook,current,FIRST_PARTY_VERIFIED,include,Google Play 10K+ bracket,standalone_app,true,,,,
W1-035,Yama Bonsai (J)INSPIRE,YAMA BONSAI,iOS / Android historical,Yannick Kiggen / Yama Bonsai,,historical,ARCHIVE_PLUS_PRACTITIONER_EVIDENCE,include,Previously shipped; later unpublished,web_or_other,true,,,,
W1-036,Mirai Mobile · My Trees,Mirai My Trees,Bundled mobile app / subscription,"International Bonsai Mirai, LLC",,current,FIRST_PARTY_VERIFIED,include,Tree tracking is bundled inside Mirai membership. Include as competitive identity; exclude from standalone app-demand comparisons because distribution is confounded by the wider subscription.,bundled_tracker,false,2026-09-03,First-party Mirai product page,https://live.bonsaimirai.com/,"My Trees tracks progress, tree details, activity history, photos and tasks within Mirai Mobile."
W1-037,OT2,OtetSudai 2,Desktop · Windows / macOS / Linux,,otetsudaiqt.sourceforge.net,legacy_available,FIRST_PARTY_VERIFIED,include,"Bonsai collection-management software for trees, pots, scheduled work and photos. Included because W1 directly observes it as a destination after Bonsai Droid.",desktop_software,false,2026-09-03,First-party project website,https://otetsudaiqt.sourceforge.net/,Legacy desktop surface remains publicly documented/downloadable; no mobile-store distribution metric is inferred.
W1-038,My Bonsai - Bonsai Care,,Google Play,Vitale Monaco,com.vitmonac.plantcareapp,current,FIRST_PARTY_VERIFIED,include,"Collection profiles, provenance field, history, care logs, reminders, statistics and PDF. Google Play shows 1K+ downloads in the closure check.",standalone_app,true,2026-09-03,Google Play listing,https://play.google.com/store/apps/details?id=com.vitmonac.plantcareapp,Current listing reproduced externally.
W1-039,Mokusai: Bonsai Design & Care,,Google Play,PeaceHeart Studio,com.bonsaidesignstudio.mokusai,current,FIRST_PARTY_VERIFIED,include,"Design studio plus growth timeline, tree history, care log and reminders. Google Play shows 1K+ downloads in the closure check.",standalone_app,true,2026-09-03,Google Play listing,https://play.google.com/store/apps/details?id=com.bonsaidesignstudio.mokusai,Current listing reproduced externally.
W1-040,BonsaiBuddy,,Apple,Dylan Clark,Apple:6758486631,current,FIRST_PARTY_VERIFIED,include,"Distinct from Carlos Domingues' Bonsai Care App: Bonsai Buddy. Includes diagnosis, collection organization and progress tracking.",standalone_app,true,2026-09-03,Public Apple App Store web listing,https://apps.apple.com/us/app/bonsaibuddy/id6758486631,Different Apple ID and developer from W1-029; therefore a separate product identity.
