stable_id,product_name,aliases,platform,developer,platform_identity,lifecycle_status,verification_status,registry_action,notes,surface_type,included_in_standalone_distribution_measurement,last_verified,verification_method,source_url,verification_actor,verification_note
W1-001,BonsaiDo,,Apple,Marco Rinaldi,Apple:1438098308,current,VERIFIED_PRIOR_CANON,include,Existing canonical competitor,standalone_app,true,2026-09-03,iTunes Lookup API,https://apps.apple.com/us/app/id1438098308,CANON_INTERNAL_FRONT,"lifecycle_status was the undefined value ""known"". Verified current 3 Sep 2026: 136 ratings, last updated 2025-09-05, developer Marco Rinaldi. Apple ID recorded (registry previously held none)."
W1-002,Bonsai Care App,Bonsai Empire,Apple + Google Play,Bonsai Empire,app.bonsaicare,current,FIRST_PARTY_VERIFIED,include,Google Play 10K+ bracket,standalone_app,true,,,,LEGACY_NOT_BACKFILLED,
W1-003,BonsAI Identifier: Tree Care,,Apple,,Apple:6739009176,current,VERIFIED_PRIOR_CANON,include,Existing canonical competitor,standalone_app,true,2026-09-03,iTunes Lookup API,https://apps.apple.com/us/app/id6739009176,CANON_INTERNAL_FRONT,"lifecycle_status was the undefined value ""known"". Verified current 3 Sep 2026: 32 ratings, last updated 2025-10-27, developer Juanjo Valino. Apple ID recorded (registry previously held none)."
W1-004,Jooni – Bonsai Tracking,,Apple + Google Play,EDUARDO FERREIRA,Apple:1537602737,current,FIRST_PARTY_VERIFIED,include,Google Play 10K+ bracket,standalone_app,true,2026-09-03,iTunes Lookup API,https://apps.apple.com/us/app/id1537602737,CANON_INTERNAL_FRONT,"platform_identity backfilled 3 Sep 2026. Developer matches registry (EDUARDO FERREIRA). 5 ratings, updated 2026-08-11."
W1-005,Bonsai Care - Journaling,,Apple,Abdelkarime Achtaou,Apple:6739073820,current,FIRST_PARTY_VERIFIED,include,,standalone_app,true,,,,LEGACY_NOT_BACKFILLED,
W1-006,Appy Bonsai - Bonsai Care,Appy Bonsai,Apple + Google Play,Appy Bonsai,com.appybonsai.AppyBonsai,current,FIRST_PARTY_VERIFIED,include,Google Play 10K+ bracket,standalone_app,true,,,,LEGACY_NOT_BACKFILLED,
W1-007,Bonsaiku: Bonsai Care & Log,Bonsaiku,Apple,PRIOMAT LLC,Apple:6779159073,current,FIRST_PARTY_VERIFIED,include,,standalone_app,true,2026-09-03,iTunes Lookup API,https://apps.apple.com/us/app/id6779159073,CANON_INTERNAL_FRONT,"platform_identity backfilled 3 Sep 2026. Registry developer ""PRIOMAT LLC"" is the App Store sellerName; ""Develak"" is the display artistName. Both correct, not a conflict. 0 ratings, updated 2026-06-17."
W1-008,Bonsai - Tree Care,,Apple,Mitaanshu Agarwal,Apple:6772632687,current,FIRST_PARTY_VERIFIED,include,,standalone_app,true,2026-09-03,iTunes Lookup API,https://apps.apple.com/us/app/id6772632687,CANON_INTERNAL_FRONT,"platform_identity backfilled 3 Sep 2026. Developer matches registry (Mitaanshu Agarwal). 0 ratings, updated 2026-06-23."
W1-009,Tiny Tree Club,,Apple,Jonathan Baran,Apple:6758886683,current,FIRST_PARTY_VERIFIED,include,,standalone_app,true,2026-09-03,iTunes Lookup API,https://apps.apple.com/us/app/id6758886683,CANON_INTERNAL_FRONT,"platform_identity backfilled 3 Sep 2026. Developer matches registry (Jonathan Baran). 0 ratings, updated 2026-08-17."
W1-010,Bonsai Care: Plant Tracker,,Apple + Google Play,,Apple:6790932457,current,VERIFIED_PRIOR_CANON,include,,standalone_app,true,2026-09-03,iTunes Lookup API,https://apps.apple.com/us/app/id6790932457,CANON_INTERNAL_FRONT,"platform_identity backfilled 3 Sep 2026. Exact product-name match; registry held no developer, store shows MEHMET CANKER (TR). 0 ratings, updated 2026-07-21."
W1-011,Bonsai Tracker,,Web,,bonsaitracker.com,current,FIRST_PARTY_VERIFIED,include,Web-first,web_or_other,false,,,,LEGACY_NOT_BACKFILLED,"Set false by internal audit 3 Sep 2026 to agree with APP-MARKET-SCAN, which excludes web-first products from distribution measurement."
W1-012,Yoi Bonsai,,Web + Apple + Google Play,,Apple:6769192304,current,FIRST_PARTY_VERIFIED,include,Transferable lineage; low observable Play distribution does not imply failure,web_or_other,false,2026-09-03,iTunes Lookup API,https://apps.apple.com/us/app/id6769192304,CANON_INTERNAL_FRONT,"platform_identity backfilled 3 Sep 2026. Exact product-name match; store shows Diemus, Inc. 0 ratings, updated 2026-08-19. iOS listing exists; surface_type stays web_or_other because the scan classifies Yoi as web-first, so measurement is unaffected. platform field corrected 3 Sep 2026 from 'Web + Google Play': a live Apple listing was confirmed by reading the store description, so the field was incomplete. Product identity unchanged."
W1-013,Wabi Sabi Bonsai,,Google Play,,com.wabi.sabi.bonsai,current,FIRST_PARTY_VERIFIED,include,,standalone_app,true,2026-09-03,Google Play listing,https://play.google.com/store/apps/details?id=com.wabi.sabi.bonsai,CANON_INTERNAL_FRONT,"platform_identity backfilled 3 Sep 2026. Google Play listing ""Wabi Sabi Bonsai: Tracker"" returns HTTP 200, 1K+ downloads bracket."
W1-014,Diario Bonsai - Nebari,Bonsai Care Journal - Nebari,Apple,Karol Jaworski,Apple:6760012296,current,FIRST_PARTY_VERIFIED,include,Localized titles are same product,standalone_app,true,,,,LEGACY_NOT_BACKFILLED,
W1-015,Bonsai App,br.com.bonsaiapp,Google Play,,br.com.bonsaiapp,current,VERIFIED_PRIOR_CANON,include,Brazilian,standalone_app,true,2026-09-03,Google Play listing,https://play.google.com/store/apps/details?id=br.com.bonsaiapp,CANON_INTERNAL_FRONT,"lifecycle_status was the undefined value ""known"". Verified current 3 Sep 2026: Play listing HTTP 200, 100+ downloads bracket."
W1-016,ScandinavianBonsai,Bonsai Care & RFID Tree Log,Google Play,,se.vilhelmineberg.planttracker,current,VERIFIED_PRIOR_CANON,include,Same product/alias,standalone_app,true,2026-09-03,Google Play listing,https://play.google.com/store/apps/details?id=se.vilhelmineberg.planttracker,CANON_INTERNAL_FRONT,"lifecycle_status was the undefined value ""known"". An initial check returned HTTP 404 and it was briefly recorded as defunct - that check used the registry platform_identity ""se.vilhelmineberg.planttrack"", which is a typo. The correct package is ""se.vilhelmineberg.planttracker"" (as recorded in APP-MARKET-SCAN), and it returns HTTP 200 on 3 Sep 2026: ""Bonsai Care & RFID Tree Log"", 50+ downloads bracket. Verified current; platform_identity corrected. One product, two names."
